id,artist,date,title,link,venue,city,lineup,lineup_count
2345415_niks,NIKS,2026-09-12,Waterworks Extended 2026,https://ra.co/events/2345415,The Cause,London,Alex Kassian;babyschön;Bradley Zero;Erol Alkan;Bunney;Chez de Milo;Lukas Wigflex;Christian AB;Craig Richards;Daniel Avery;Dave Harvey;Ellie Stokes;Decius;DJ Koolt;DJ Subaru;dj sweet6teen;Gene On Earth;Dr Banana;Dresden;Ivan Smagghe;Manfredas;Dyed Soundorom;Moxie;Eris Drew;Errol;Shy One;Free Zing;KT;Leon Vynehall;Midland;NIKS;Octo Octa;OK Williams;Skee Mask;Priori;Raresh;Sonja Moonear;Reptant;Scarlett O'Malley;Ysanne;Sofia Kourtesis;Tia Cousins;The Trip;Aba Shanti-I;Anz;Bakey;Mia Koden;Beatrice M.;Simon Scott;Blackeye MC;Fez the Kid;Call Super;Objekt;Carré;Darwin;Decibella;DJ Fuckoff;DJ Storm (2);Double O;Mantra (ES);DjRUM;MC Creed;Dr Dubplate;EMA (1);Fliss Mayo;Jay Carder;LTJ Bukem;Main Phase;Manami;MJK;Moose;Neffa-T;Teki Latex;Novelist;Oppidan;p-rallel;Raji Rags;Ruff Sqwad;SKALAH (UK);Special Request;Sully;Tañ;Tash LC;Tim Reaper,84
2403632_isabella,ISAbella,2026-09-12,Dissonanze Festival,https://ra.co/events/2403632,Auditorium Parco della Musica,Rome,Björk;Peggy Gou;Chloé Caillet;Daphni;Donato Dozzy;Floating Points;Honey Dijon;Job Jobse;Kelly Lee Owens;Moodymann;Marcellus Pittman;Octave One;Raresh;Ron Trent;Sama' Abdulhadi;Skream;Benga;Aline Umber;CARISTA;Dante;GNMR;ISAbella;IRIDE;Giancarlino;Jazzanova;Wayne Snow;Lefto Early Bird;Omeria;Paranoid London;Session Victim;Sugar Free;Ti Es;Tiger & Woods;Yu Su,34
2345415_moxie,Moxie,2026-09-12,Waterworks Extended 2026,https://ra.co/events/2345415,The Cause,London,Alex Kassian;babyschön;Bradley Zero;Erol Alkan;Bunney;Chez de Milo;Lukas Wigflex;Christian AB;Craig Richards;Daniel Avery;Dave Harvey;Ellie Stokes;Decius;DJ Koolt;DJ Subaru;dj sweet6teen;Gene On Earth;Dr Banana;Dresden;Ivan Smagghe;Manfredas;Dyed Soundorom;Moxie;Eris Drew;Errol;Shy One;Free Zing;KT;Leon Vynehall;Midland;NIKS;Octo Octa;OK Williams;Skee Mask;Priori;Raresh;Sonja Moonear;Reptant;Scarlett O'Malley;Ysanne;Sofia Kourtesis;Tia Cousins;The Trip;Aba Shanti-I;Anz;Bakey;Mia Koden;Beatrice M.;Simon Scott;Blackeye MC;Fez the Kid;Call Super;Objekt;Carré;Darwin;Decibella;DJ Fuckoff;DJ Storm (2);Double O;Mantra (ES);DjRUM;MC Creed;Dr Dubplate;EMA (1);Fliss Mayo;Jay Carder;LTJ Bukem;Main Phase;Manami;MJK;Moose;Neffa-T;Teki Latex;Novelist;Oppidan;p-rallel;Raji Rags;Ruff Sqwad;SKALAH (UK);Special Request;Sully;Tañ;Tash LC;Tim Reaper,84
2382943_anyma,Anyma,2026-09-12,Anyma presents Aeden,https://ra.co/events/2382943,Atakoy Marina Arena,Istanbul,Anyma,1
2407324_yanamaste,Yanamaste,2026-09-12,Else x OPUS pres. Yanamaste (All Day Long),https://ra.co/events/2407324,Else,Berlin,Amanda Mussi;Danté;Flug;Kim She;Sept;NASTYA NVRSLP;Yanamaste,7
2281919_prada2000,PRADA2000,2026-09-12,A Day at the Park Festival 2026,https://ra.co/events/2281919,Kralingse Bos,Rotterdam,Baggi Begovic;Ammé;Benny Rodrigues;Bumpr;Claptone;Cher Semain;Eva Vrijdag;Fiene;Fenrick;Housequake;ROOG;Erick E;IOSIO;Marie Vaunt;MENESIX;Michel de Hey;Philou Louzolo;OGUZ;PRADA2000;Prunk;S3PPA;Shermanology,22
2461044_kobosil,Kobosil,2026-09-12,UNREAL NA TOUR: CHICAGO,https://ra.co/events/2461044,Radius,Chicago,Winson;KUKO;Kobosil;Johannes Schuster;AMAYAH,5
2403632_skream,Skream,2026-09-12,Dissonanze Festival,https://ra.co/events/2403632,Auditorium Parco della Musica,Rome,Björk;Peggy Gou;Chloé Caillet;Daphni;Donato Dozzy;Floating Points;Honey Dijon;Job Jobse;Kelly Lee Owens;Moodymann;Marcellus Pittman;Octave One;Raresh;Ron Trent;Sama' Abdulhadi;Skream;Benga;Aline Umber;CARISTA;Dante;GNMR;ISAbella;IRIDE;Giancarlino;Jazzanova;Wayne Snow;Lefto Early Bird;Omeria;Paranoid London;Session Victim;Sugar Free;Ti Es;Tiger & Woods;Yu Su,34
2281919_prunk,Prunk,2026-09-12,A Day at the Park Festival 2026,https://ra.co/events/2281919,Kralingse Bos,Rotterdam,Baggi Begovic;Ammé;Benny Rodrigues;Bumpr;Claptone;Cher Semain;Eva Vrijdag;Fiene;Fenrick;Housequake;ROOG;Erick E;IOSIO;Marie Vaunt;MENESIX;Michel de Hey;Philou Louzolo;OGUZ;PRADA2000;Prunk;S3PPA;Shermanology,22
2345415_objekt,Objekt,2026-09-12,Waterworks Extended 2026,https://ra.co/events/2345415,The Cause,London,Alex Kassian;babyschön;Bradley Zero;Erol Alkan;Bunney;Chez de Milo;Lukas Wigflex;Christian AB;Craig Richards;Daniel Avery;Dave Harvey;Ellie Stokes;Decius;DJ Koolt;DJ Subaru;dj sweet6teen;Gene On Earth;Dr Banana;Dresden;Ivan Smagghe;Manfredas;Dyed Soundorom;Moxie;Eris Drew;Errol;Shy One;Free Zing;KT;Leon Vynehall;Midland;NIKS;Octo Octa;OK Williams;Skee Mask;Priori;Raresh;Sonja Moonear;Reptant;Scarlett O'Malley;Ysanne;Sofia Kourtesis;Tia Cousins;The Trip;Aba Shanti-I;Anz;Bakey;Mia Koden;Beatrice M.;Simon Scott;Blackeye MC;Fez the Kid;Call Super;Objekt;Carré;Darwin;Decibella;DJ Fuckoff;DJ Storm (2);Double O;Mantra (ES);DjRUM;MC Creed;Dr Dubplate;EMA (1);Fliss Mayo;Jay Carder;LTJ Bukem;Main Phase;Manami;MJK;Moose;Neffa-T;Teki Latex;Novelist;Oppidan;p-rallel;Raji Rags;Ruff Sqwad;SKALAH (UK);Special Request;Sully;Tañ;Tash LC;Tim Reaper,84
