endpoint,status_code,success,matched_key_path,example_value
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[25].momentum,steady
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[25].momentum_score,57
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[26].stage,mid-level
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[26].stage_score,17
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[26].momentum,steady
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[26].momentum_score,57
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[27].stage,mid-level
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[27].stage_score,17
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[27].momentum,steady
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[27].momentum_score,57
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[28].stage,mid-level
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[28].stage_score,17
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[28].momentum,steady
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[28].momentum_score,56
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[29].stage,mid-level
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[29].stage_score,16
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[29].momentum,steady
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[29].momentum_score,57
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[30].stage,mid-level
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[30].stage_score,16
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[30].momentum,steady
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[30].momentum_score,57
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[31].stage,mid-level
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[31].stage_score,16
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[31].momentum,steady
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[31].momentum_score,59
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[32].stage,mid-level
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[32].stage_score,17
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[32].momentum,steady
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[32].momentum_score,67
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[33].stage,mid-level
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[33].stage_score,17
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[33].momentum,steady
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[33].momentum_score,70
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[34].stage,mid-level
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[34].stage_score,17
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[34].momentum,steady
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[34].momentum_score,76
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[35].stage,mid-level
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[35].stage_score,17
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[35].momentum,steady
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[35].momentum_score,80
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[36].stage,mid-level
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[36].stage_score,17
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[36].momentum,steady
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[36].momentum_score,86
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[37].stage,mid-level
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[37].stage_score,17
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[37].momentum,steady
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[37].momentum_score,90
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[38].stage,mid-level
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[38].stage_score,17
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[38].momentum,steady
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[38].momentum_score,96
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[39].stage,mid-level
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[39].stage_score,17
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[39].momentum,steady
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[39].momentum_score,100
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[40].stage,mid-level
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[40].stage_score,16
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[40].momentum,growth
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[40].momentum_score,1
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[41].stage,mid-level
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[41].stage_score,15
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[41].momentum,growth
api__artist__240495__career__limit-50__since-2023-01-01__until-2024-01-01,200,True,obj[41].momentum_score,1
